[2026-05-08 16:00:37,318] INFO tracking_app.views user_map_auth_view: associated vessels status_code=200
[2026-05-08 16:00:37,319] INFO tracking_app.views user_map_auth_view: associated vessel ids count=4
[2026-05-08 16:00:37,319] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=118
[2026-05-08 16:00:38,182] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=118
[2026-05-08 16:00:38,182] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=117
[2026-05-08 16:00:39,104] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=117
[2026-05-08 16:00:39,104] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=120
[2026-05-08 16:00:39,980] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=120
[2026-05-08 16:00:39,981] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=119
[2026-05-08 16:00:40,904] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=119
[2026-05-08 16:00:40,904] INFO tracking_app.views user_map_auth_view: latest records cached count=4
[2026-05-08 16:00:40,905] INFO tracking_app.views user_map_auth_view: creating base map
